"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"LT3751EFE#TRPBF","Analog Devices Inc.","LT3751EFE#TRPBFCT-ND","U1","U1","Cut Tape (CT)","Active","1","9.68000","$9.68","1633","8 Weeks","IC CTRLR CAP CHARGER 20-TSSOP","ROHS3 Compliant","Lead free","Not Available"
"GA3460-BL","","","TR1, TR2, TR3, TR4, TR5, TR6","","","","","","","","","","","",""
"NDSH25170A","ON Semiconductor","NDSH25170A-ND","D1","D1","Tube","Active","1","18.90000","$18.90","44","10 Weeks","SIC JBS 1700V 25A TO247","ROHS3 Compliant","Not Available","REACH Unaffected"
"GR443QR73D222KW01L","Murata Electronics","490-6107-1-ND","C1","C1","Cut Tape (CT)","Active","1","1.77000","$1.77","22660","10 Weeks","CAP CER 2200PF 2KV X7R 1812","ROHS3 Compliant","Lead free","Not Available"
"ERA-3AEB8062V","Panasonic Electronic Components","P80.6KDBCT-ND","R1, R2","R1, R2","Cut Tape (CT)","Active","2","0.33000","$0.66","13368","13 Weeks","RES SMD 80.6KOHM 0.1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-3AEB3652V","Panasonic Electronic Components","P36.5KDBCT-ND","R3","R3","Cut Tape (CT)","Active","1","0.33000","$0.33","25126","13 Weeks","RES SMD 36.5KOHM 0.1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-3GEY0R00V","Panasonic Electronic Components","P0.0GCT-ND","JP1","JP1","Cut Tape (CT)","Active","1","0.10000","$0.10","10811491","11 Weeks","RES SMD 0 OHM JUMPER 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-MS4SF4M0U","Panasonic Electronic Components","P17092CT-ND","R5, R6","R5, R6","Cut Tape (CT)","Active","2","0.88000","$1.76","10421","31 Weeks","RES 0.004 OHM 1% 3W 2512","ROHS3 Compliant","Lead free","Not Available"
"ERA-3AEB104V","Panasonic Electronic Components","P100KDBCT-ND","R7, R8","R7, R8","Cut Tape (CT)","Active","2","0.34000","$0.68","227421","13 Weeks","RES SMD 100K OHM 0.1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-6AEB4533V","Panasonic Electronic Components","P453KDACT-ND","R9, R10","R9, R10","Cut Tape (CT)","Active","2","0.33000","$0.66","8251","13 Weeks","RES 453K OHM 0.1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-6AEB1693V","Panasonic Electronic Components","P169KDACT-ND","R12","R12","Cut Tape (CT)","Active","1","0.33000","$0.33","3506","13 Weeks","RES 169K OHM 0.1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-6ENF1304V","Panasonic Electronic Components","P1.30MCCT-ND","R11","R11","Cut Tape (CT)","Active","1","0.10000","$0.10","15521","11 Weeks","RES SMD 1.3M OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-8ENF2004V","Panasonic Electronic Components","P2.00MFCT-ND","R13, R14","R13, R4","Cut Tape (CT)","Active","2","0.10000","$0.20","12226","13 Weeks","RES SMD 2M OHM 1% 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"GRM1885C1H103JA01D","Murata Electronics","490-9666-1-ND","C2","C2","Cut Tape (CT)","Active","1","0.21000","$0.21","521804","14 Weeks","CAP CER 10000PF 50V C0G/NP0 0603","ROHS3 Compliant","Lead free","Not Available"
"EEU-FR1H101B","Panasonic Electronic Components","P15369CT-ND","C3","C3","Cut Tape (CT)","Active","1","0.48000","$0.48","13905","18 Weeks","CAP ALUM 100UF 20% 50V RADIAL","RoHS Compliant","Lead free","Not Available"
"GRT31CR61H106ME01L","Murata Electronics","490-12457-1-ND","C4","C4","Cut Tape (CT)","Active","1","0.48000","$0.48","205773","18 Weeks","CAP CER 10UF 50V X5R 1206","ROHS3 Compliant","Lead free","Not Available"
"GRM32EC72A106KE05L","Murata Electronics","490-16266-1-ND","C5","C5","Cut Tape (CT)","Active","1","1.45000","$1.45","5593","14 Weeks","CAP CER 10UF 100V X7S 1210","ROHS3 Compliant","Lead free","Not Available"
"UPW2A102MHD","Nichicon","493-1988-ND","C6","C6","Bulk","Active","1","2.78000","$2.78","11911","18 Weeks","CAP ALUM 1000UF 20% 100V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"IXFK180N25T","IXYS","IXFK180N25T-ND","Q1","Q1","Tube","Active","1","12.89000","$12.89","670","31 Weeks","MOSFET N-CH 250V 180A TO-264","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-3AEB2371V","Panasonic Electronic Components","P2.37KDBCT-ND","R4","","Cut Tape (CT)","Active","1","0.33000","$0.33","526","13 Weeks","RES SMD 2.37KOHM 0.1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-3AEB2551V","Panasonic Electronic Components","P2.55KDBCT-ND","R4","","Cut Tape (CT)","Active","1","0.33000","$0.33","16671","13 Weeks","RES SMD 2.55KOHM 0.1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-8AEB1622V","Panasonic Electronic Components","P16.2KBCCT-ND","R15","","Cut Tape (CT)","Active","1","0.61000","$0.61","2914","13 Weeks","RES SMD 16.2K OHM 0.1% 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
